method,budget,scenario,seed,episode,is_success,is_crash,is_out_of_bounds,is_timeout,return
end_to_end,1000000,favorable,0,0,1,0,0,0,391.01559402293674
end_to_end,1000000,favorable,0,1,0,0,1,0,-700.5868140595671
end_to_end,1000000,favorable,0,2,1,0,0,0,390.2160078408385
end_to_end,1000000,favorable,0,3,1,0,0,0,391.05213900013337
end_to_end,1000000,favorable,0,4,0,0,1,0,-768.1790668110184
end_to_end,1000000,favorable,0,5,0,0,1,0,-778.9926393933198
end_to_end,1000000,favorable,0,6,0,0,1,0,-697.0411466741168
end_to_end,1000000,favorable,0,7,1,0,0,0,390.88990028708446
end_to_end,1000000,favorable,0,8,0,0,1,0,-781.7259560795284
end_to_end,1000000,favorable,0,9,0,0,1,0,-705.4046964906267
end_to_end,1000000,neutral,0,0,1,0,0,0,391.90161546467164
end_to_end,1000000,neutral,0,1,0,0,1,0,-699.1893251381114
end_to_end,1000000,neutral,0,2,1,0,0,0,390.93560657227846
end_to_end,1000000,neutral,0,3,0,0,1,0,-700.0057645877425
end_to_end,1000000,neutral,0,4,0,0,1,0,-699.6948583880171
end_to_end,1000000,neutral,0,5,0,0,1,0,-698.7395500320018
end_to_end,1000000,neutral,0,6,0,0,1,0,-692.7814974499208
end_to_end,1000000,neutral,0,7,1,0,0,0,391.5195208393554
end_to_end,1000000,neutral,0,8,0,0,1,0,-699.6168317921629
end_to_end,1000000,neutral,0,9,1,0,0,0,390.77717845831506
end_to_end,1000000,disadvantage,0,0,1,0,0,0,390.71948321014605
end_to_end,1000000,disadvantage,0,1,0,0,1,0,-770.2089746390952
end_to_end,1000000,disadvantage,0,2,0,0,1,0,-694.4901642879788
end_to_end,1000000,disadvantage,0,3,0,0,1,0,-700.163443047519
end_to_end,1000000,disadvantage,0,4,0,0,1,0,-696.3950402158018
end_to_end,1000000,disadvantage,0,5,1,0,0,0,391.4228338893966
end_to_end,1000000,disadvantage,0,6,0,0,1,0,-694.5679293818515
end_to_end,1000000,disadvantage,0,7,0,0,1,0,-696.7743531375911
end_to_end,1000000,disadvantage,0,8,0,0,1,0,-701.5142650913978
end_to_end,1000000,disadvantage,0,9,1,0,0,0,391.95244570173105
end_to_end,1000000,favorable,1,0,0,1,0,0,-851.5618626311327
end_to_end,1000000,favorable,1,1,0,1,0,0,-814.9153437578539
end_to_end,1000000,favorable,1,2,0,1,0,0,-855.5606571526486
end_to_end,1000000,favorable,1,3,0,1,0,0,-876.7113975183521
end_to_end,1000000,favorable,1,4,0,1,0,0,-791.8743504556608
