initial_state,opponent,phase,step_count
advantage,expert,pre_merge,0
advantage,expert,post_merge,2871
advantage,expert,re_entry,0
advantage,end_to_end,pre_merge,0
advantage,end_to_end,post_merge,2976
advantage,end_to_end,re_entry,0
advantage,independent_ppo_vpp,pre_merge,0
advantage,independent_ppo_vpp,post_merge,3004
advantage,independent_ppo_vpp,re_entry,0
crossing_entry,expert,pre_merge,0
crossing_entry,expert,post_merge,2943
crossing_entry,expert,re_entry,0
crossing_entry,end_to_end,pre_merge,0
crossing_entry,end_to_end,post_merge,3006
crossing_entry,end_to_end,re_entry,0
crossing_entry,independent_ppo_vpp,pre_merge,0
crossing_entry,independent_ppo_vpp,post_merge,2964
crossing_entry,independent_ppo_vpp,re_entry,0
disadvantage,expert,pre_merge,0
disadvantage,expert,post_merge,3049
disadvantage,expert,re_entry,0
disadvantage,end_to_end,pre_merge,0
disadvantage,end_to_end,post_merge,2939
disadvantage,end_to_end,re_entry,0
disadvantage,independent_ppo_vpp,pre_merge,0
disadvantage,independent_ppo_vpp,post_merge,3040
disadvantage,independent_ppo_vpp,re_entry,0
head_on,expert,pre_merge,0
head_on,expert,post_merge,2759
head_on,expert,re_entry,0
head_on,end_to_end,pre_merge,0
head_on,end_to_end,post_merge,2889
head_on,end_to_end,re_entry,0
head_on,independent_ppo_vpp,pre_merge,0
head_on,independent_ppo_vpp,post_merge,3089
head_on,independent_ppo_vpp,re_entry,0
neutral,expert,pre_merge,0
neutral,expert,post_merge,3120
neutral,expert,re_entry,0
neutral,end_to_end,pre_merge,0
neutral,end_to_end,post_merge,2802
neutral,end_to_end,re_entry,0
neutral,independent_ppo_vpp,pre_merge,0
neutral,independent_ppo_vpp,post_merge,3120
neutral,independent_ppo_vpp,re_entry,0
